__id,pr_0,w_pr_0,in_deg_0,out_deg_0,tri_0,pr_1,w_pr_1,in_deg_1,out_deg_1,pr_2,w_pr_2,kc_2,in_deg_2,out_deg_2,tri_2,spath_top_3_0,spath_top_3_1,spath_top_3_2,spath_top_3_3,spath_top_3_4,spath_top_min_3,w_spath_top_3_0,w_spath_top_3_1,w_spath_top_3_2,w_spath_top_3_3,w_spath_top_3_4,w_spath_top_min_3,kc_3,in_deg_3,out_deg_3
97da743a-f22b-46dc-a6f0-375a8e17f132,0.1502534402030664,0.15,1,0,0,0.35019377693873843,0.15,1,1,0.1502792585296479,0.15,1,1,0,0,3.0,4.0,4.0,5.0,4.0,3.0,24.0,17.0,16.0,17.0,20.0,16.0,2,1,1
d0769598-bc32-ebee-acb5-f855d98d1ec1,0.15119601028896673,0.15,1,0,0,0.41204807833902324,0.15,1,1,0.15123942264065335,0.15,1,1,0,0,3.0,4.0,3.0,3.0,4.0,3.0,23.0,19.0,18.0,18.0,23.0,18.0,2,1,1
c105779b-7745-495f-b0f8-3bd40fd5848e,0.2775,0.38587499999999997,3,0,0,1.0,0.38587499999999997,3,3,0.2775,0.38587499999999997,3,3,0,0,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,5,3,3
39b15660-fba1-eeaf-8284-33c90abcd060,0.17517135774062004,0.38587499999999997,3,0,0,0.4268522056622851,0.38587499999999997,3,3,0.18010444732990644,0.38587499999999997,3,3,0,0,4.0,4.0,4.0,3.0,3.0,3.0,21.0,18.0,17.0,15.0,19.0,15.0,5,3,3
f567890d-2650-5947-152e-b6b0473c634c,0.2685890009236454,0.47799375,4,0,2,0.7717874468157601,0.47799375,4,4,0.26858900092364535,0.47799375,4,4,0,2,4.0,5.0,5.0,5.0,5.0,4.0,21.0,16.0,17.0,17.0,19.0,16.0,5,4,4
38593f9e-5af8-409c-9147-a02064f38568,0.15233875567881044,0.5562946875,5,0,2,0.5091901049226203,0.5562946875,5,5,0.15379518714439755,0.5562946875,5,5,0,2,3.0,4.0,3.0,3.0,4.0,3.0,19.0,13.0,11.0,13.0,13.0,11.0,5,5,5
cfe78113-2345-8abd-72b3-4b7d8d728cc7,0.5325,0.67942291171875,7,0,0,1.8833020525169326,0.7275094749609375,7,7,0.5324999999999999,0.67942291171875,3,7,0,0,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,5,7,7
0b86fca6-e3b6-4576-b123-ef6547752c90,0.4160785121285356,0.7275094749609375,8,0,0,1.2871078032720973,0.7275094749609375,8,8,0.4187510279235382,0.7275094749609375,3,8,0,0,3.0,3.0,3.0,5.0,4.0,3.0,24.0,18.0,17.0,17.0,23.0,17.0,5,8,8
f44719be-a59c-f70e-1fbb-8d40f3bf89e5,0.18642857142857142,0.27749999999999997,2,0,0,0.5451985512368098,0.27749999999999997,2,2,0.18642857142857142,0.27749999999999997,2,2,0,0,3.0,4.0,5.0,5.0,4.0,3.0,18.0,11.0,10.0,11.0,15.0,10.0,4,2,2
18a08a5e-3fc4-4386-ba6b-4895de71827d,0.17890453609233156,0.622850484375,6,0,0,0.8231665122918953,0.622850484375,6,6,0.18384239351586998,0.622850484375,5,6,0,0,4.0,3.0,3.0,5.0,3.0,3.0,26.0,21.0,21.0,19.0,24.0,19.0,5,6,6
