uuid,pr_0,w_pr_0,in_deg_0,out_deg_0,tri_0,pr_1,w_pr_1,in_deg_1,out_deg_1,pr_2,w_pr_2,kc_2,in_deg_2,out_deg_2,tri_2,spath_top_3_0,spath_top_3_1,spath_top_3_2,spath_top_3_3,spath_top_3_4,spath_top_min_3,w_spath_top_3_0,w_spath_top_3_1,w_spath_top_3_2,w_spath_top_3_3,w_spath_top_3_4,w_spath_top_min_3,kc_3,in_deg_3,out_deg_3,spath,w_spath
941865f2-1115-46a0-b1b1-7829c2f770fb,0.309375,0.622850484375,6,0,0,1.1000821376311556,0.622850484375,6,6,0.309375,0.622850484375,3,6,0,0,6.0,6.0,6.0,5.0,6.0,5.0,21.0,14.0,13.0,15.0,19.0,13.0,5,6,6,3.0,7.0
650faabb-6462-9f13-0cef-205ddf4dd9d9,0.2046428571428572,0.622850484375,6,0,0,0.9222017446460028,0.622850484375,6,6,0.18477272727272728,0.385875,3,3,0,0,5.0,5.0,5.0,5.0,6.0,5.0,19.0,15.0,15.0,14.0,18.0,14.0,5,3,3,4.0,8.0
8bb63939-c2f7-4619-b78b-64413c516a5d,1.2297342090853338,0.9999999125232636,100,0,18,8.145591059543527,0.9999999125232636,100,100,1.249400626943709,0.9999980816273114,5,81,0,9,3.0,3.0,3.0,3.0,3.0,3.0,15.0,10.0,9.0,10.0,13.0,9.0,5,81,81,2.0,2.0
94e77637-7d6f-4738-8a21-19c5fe3b1f28,0.288125,0.47799375,4,39,1,5.8819151065503705,0.999215789358174,43,43,0.288125,0.47799375,5,4,26,1,4.0,3.0,4.0,4.0,3.0,3.0,19.0,14.0,13.0,12.0,16.0,12.0,5,30,30,3.0,5.0
c6870164-8554-cf24-1d04-92a2d2f79737,0.235,0.2775,2,0,0,0.9440175998641044,0.2775,2,2,0.235,0.2775,2,2,0,0,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,4,2,2,0.0,0.0
0615227a-79ac-c1a9-771f-524586d870be,0.6740769753586277,0.9670543985781628,21,0,4,2.7093553056426964,0.9670543985781628,21,21,0.6751999683616371,0.9612404689154856,5,20,0,3,4.0,5.0,3.0,5.0,5.0,3.0,21.0,15.0,14.0,15.0,17.0,14.0,5,20,20,2.0,6.0
46ee18ab-7077-7a4c-044b-a37f9eadeca8,1.9885211345271432,0.9960166957992724,34,0,6,5.638305028568088,0.9978091826895998,34,34,1.9976105650407536,0.99531375976385,5,33,0,6,3.0,3.0,3.0,3.0,3.0,3.0,23.0,15.0,16.0,17.0,20.0,15.0,5,33,33,2.0,11.0
b4515cd6-d47d-4ed2-898e-e0d27b3bc2b9,0.2831458817623145,0.5562946875,5,0,0,0.8704043921851226,0.5562946875,5,5,0.2835758756857161,0.5562946875,3,5,0,0,1.0,3.0,3.0,3.0,3.0,1.0,19.0,15.0,10.0,16.0,18.0,10.0,5,5,5,1.0,6.0
aa22e345-888c-8379-873d-7cd8c953b9c7,0.7874999999999998,0.8790945064342538,13,0,0,2.7666041050338643,0.8972303304691157,13,13,0.7874999999999998,0.8790945064342538,3,13,0,0,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,5,13,13,0.0,0.0
ab6879e9-39f1-40d8-69ee-0cf7404844ce,0.2934375,0.47799375,4,0,0,0.799911520458347,0.47799375,4,4,0.2934375,0.47799375,3,4,0,0,5.0,4.0,5.0,5.0,5.0,4.0,18.0,14.0,13.0,13.0,16.0,13.0,5,4,4,3.0,6.0
