__id,pr_0,w_pr_0,kc_0,in_deg_0,out_deg_0,tri_0,pr_1,w_pr_1,spath_top_1_0,spath_top_1_1,spath_top_1_2,spath_top_1_3,spath_top_1_4,spath_top_min_1,w_spath_top_1_0,w_spath_top_1_1,w_spath_top_1_2,w_spath_top_1_3,w_spath_top_1_4,w_spath_top_min_1,spath_top_2_0,spath_top_2_1,spath_top_2_2,spath_top_2_3,spath_top_2_4,spath_top_min_2,w_spath_top_2_0,w_spath_top_2_1,w_spath_top_2_2,w_spath_top_2_3,w_spath_top_2_4,w_spath_top_min_2
1cd09d17-2f52-9302-6c06-37acbb6d0d94,0.15547846431582307,0.27749999999999997,2,2,0,0,0.48467129596554787,0.27749999999999997,3.0,4.0,5.0,5.0,4.0,3.0,21.0,18.0,16.0,17.0,18.0,16.0,3.0,4.0,5.0,5.0,4.0,3.0,21.0,18.0,16.0,17.0,18.0,16.0
d0c8ad47-3ad6-10b4-f7a0-3eebad73d7b5,0.3517944036966821,0.622850484375,4,6,0,1,0.9175893553636435,0.67942291171875,3.0,4.0,4.0,5.0,4.0,3.0,20.0,13.0,12.0,11.0,18.0,11.0,3.0,4.0,4.0,5.0,4.0,3.0,20.0,13.0,12.0,11.0,18.0,11.0
523a2c1f-2877-4c74-a2a1-5d9a7640cc90,0.1506222642070885,0.15,1,1,0,0,0.25696250589151715,0.15,3.0,3.0,3.0,3.0,3.0,3.0,20.0,15.0,15.0,15.0,20.0,15.0,3.0,3.0,3.0,3.0,3.0,3.0,20.0,15.0,15.0,15.0,20.0,15.0
55641f41-aecb-4939-9ba8-89e55f31689d,0.5752225095326416,0.8972303304691157,4,14,0,0,1.772090521829902,0.8972303304691157,2.0,3.0,3.0,3.0,3.0,2.0,21.0,16.0,15.0,13.0,20.0,13.0,2.0,3.0,3.0,3.0,3.0,2.0,21.0,16.0,15.0,13.0,20.0,13.0
4556b278-1fa5-8d62-3e68-e342df8d93f5,0.7874999999999998,0.8790945064342538,3,13,0,0,2.7666041050338643,0.8972303304691157,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
72cfb02a-98cf-4c9d-a0e9-3fea15cc22b9,0.2775,0.38587499999999997,3,3,0,0,1.0,0.38587499999999997,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
c9a73a53-f9a8-1868-1755-757432e08a3b,0.3795000000000001,0.67942291171875,4,7,0,0,1.2139655008833712,0.67942291171875,6.0,6.0,4.0,6.0,5.0,4.0,22.0,16.0,15.0,16.0,19.0,15.0,6.0,6.0,4.0,6.0,5.0,4.0,22.0,16.0,15.0,16.0,19.0,15.0
da1aa3aa-3edc-4d9b-9da0-d89eafb09e96,0.44253761704079225,0.857758242863828,5,12,0,2,1.605316987372466,0.857758242863828,3.0,3.0,3.0,3.0,3.0,3.0,17.0,12.0,12.0,12.0,17.0,12.0,3.0,3.0,3.0,3.0,3.0,3.0,17.0,12.0,12.0,12.0,17.0,12.0
513a6374-30dd-d9a1-824b-486d9dbd1c17,0.398625,0.47799375,2,4,0,0,0.8254176041674358,0.5562946875,5.0,4.0,5.0,5.0,4.0,4.0,18.0,12.0,13.0,13.0,16.0,12.0,5.0,4.0,5.0,5.0,4.0,4.0,18.0,12.0,13.0,13.0,16.0,12.0
143401cf-bf6a-4baf-a343-e314d1500eb3,0.41361184210526314,0.7275094749609375,3,8,0,0,1.9603923998491548,0.7275094749609375,3.0,5.0,5.0,5.0,5.0,3.0,30.0,25.0,22.0,24.0,28.0,22.0,3.0,5.0,5.0,5.0,5.0,3.0,30.0,25.0,22.0,24.0,28.0,22.0
710899a9-2489-3bd9-db7c-05dd8114625f,0.22437500000000002,0.27749999999999997,5,2,11,3,1.784163855599804,0.8790945064342538,3.0,4.0,4.0,4.0,5.0,3.0,22.0,17.0,13.0,17.0,20.0,13.0,3.0,4.0,4.0,4.0,5.0,3.0,22.0,17.0,13.0,17.0,20.0,13.0
32eb0c80-8b0d-4e8d-8d87-ca5c44a99ee6,0.2947459490740741,0.47799375,3,4,0,0,0.8934212869628402,0.47799375,4.0,5.0,5.0,5.0,5.0,4.0,26.0,21.0,18.0,21.0,22.0,18.0,4.0,5.0,5.0,5.0,5.0,4.0,26.0,21.0,18.0,21.0,22.0,18.0
a1f2485a-bbf8-0b13-1227-2ed5f2ef5d89,0.30937499999999996,0.622850484375,3,6,0,0,0.9756415930404423,0.622850484375,4.0,4.0,4.0,4.0,4.0,4.0,16.0,11.0,10.0,11.0,15.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,16.0,11.0,10.0,11.0,15.0,10.0
2eafc195-5251-4be0-b2c9-235702b355e0,0.17483798076923077,0.47799375,4,4,0,2,0.5976857992321203,0.47799375,4.0,4.0,4.0,5.0,5.0,4.0,19.0,14.0,10.0,14.0,17.0,10.0,4.0,4.0,4.0,5.0,5.0,4.0,19.0,14.0,10.0,14.0,17.0,10.0
4e5b6d5b-128e-5a24-d3bf-e065b056150e,1.1232150568635584,0.9999314958917724,5,59,0,10,5.399998922440624,0.9999417715080066,3.0,3.0,3.0,3.0,3.0,3.0,17.0,10.0,9.0,10.0,15.0,9.0,3.0,3.0,3.0,3.0,3.0,3.0,17.0,10.0,9.0,10.0,15.0,9.0
5f9bce06-5ba9-0474-6e45-b6f31836512f,1.1781391923118185,0.99531375976385,5,33,0,2,4.110934426070246,0.9967196318346949,3.0,4.0,3.0,5.0,4.0,3.0,18.0,13.0,12.0,12.0,17.0,12.0,3.0,4.0,3.0,5.0,4.0,3.0,18.0,13.0,12.0,12.0,17.0,12.0
0d89990e-dadb-ab09-bcea-6f5142de7725,0.9270510747055931,0.9966141914293816,5,35,0,7,3.4801041641358355,0.9966141914293816,3.0,4.0,3.0,3.0,4.0,3.0,16.0,11.0,8.0,10.0,14.0,8.0,3.0,4.0,3.0,3.0,4.0,3.0,16.0,11.0,8.0,10.0,14.0,8.0
e3366df3-427a-969b-ac67-4ad926518558,0.3213736607142857,0.47799375,3,4,0,0,0.8757631935372587,0.47799375,5.0,5.0,5.0,6.0,5.0,5.0,23.0,18.0,15.0,17.0,22.0,15.0,5.0,5.0,5.0,6.0,5.0,5.0,23.0,18.0,15.0,17.0,22.0,15.0
ddb0a4da-9dd3-91e8-9b7b-1e797be75364,1.0965129766676769,0.9944867761927646,5,32,0,13,3.593278482033705,0.9961407433349352,3.0,4.0,3.0,4.0,4.0,3.0,20.0,14.0,12.0,13.0,17.0,12.0,3.0,4.0,3.0,4.0,4.0,3.0,20.0,14.0,12.0,13.0,17.0,12.0
2baae919-c464-9820-2021-816cb4a08351,0.6949764724265817,0.9463535901944439,5,18,0,2,2.096468836007372,0.9544005516652773,3.0,4.0,3.0,4.0,4.0,3.0,19.0,13.0,12.0,13.0,16.0,12.0,3.0,4.0,3.0,4.0,4.0,3.0,19.0,13.0,12.0,13.0,16.0,12.0
20260270-a5fb-4f6a-ab9d-ce85bad480ca,0.15166522740765775,0.15,1,1,0,0,0.249296944584338,0.15,3.0,3.0,3.0,3.0,3.0,3.0,16.0,15.0,13.0,13.0,18.0,13.0,3.0,3.0,3.0,3.0,3.0,3.0,16.0,15.0,13.0,13.0,18.0,13.0
c76526cb-8ccb-2b5a-0105-533eedbfac7c,0.2177206064798801,0.8031255956592774,5,10,0,6,0.8753051021874568,0.8031255956592774,3.0,3.0,3.0,5.0,4.0,3.0,20.0,15.0,11.0,14.0,17.0,11.0,3.0,3.0,3.0,5.0,4.0,3.0,20.0,15.0,11.0,14.0,17.0,11.0
